MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi)
2975.5,,5770.504742,
2976.0,,5593.481946,
2976.5,,5444.11007,
2977.0,,5014.634941,
2977.5,,5682.799636,
2978.0,,5571.985747,
2978.5,,5675.713242,
2979.0,,5204.808463,
2979.5,,5227.482846,
2980.0,,5362.125841,
2980.5,,5080.948895,
2981.0,,5145.679889,
2981.5,,5374.419145,
2982.0,,5499.927819,
2982.5,,5530.017195,
2983.0,,5003.137349,
2983.5,,4873.99037,
2984.0,,4981.527439,
2984.5,,5171.648605,
2985.0,,5863.427873,
2985.5,,5307.724654,
2986.0,,5368.091939,
2986.5,,5468.097656,
2987.0,,5378.562426,
2987.5,,5162.711012,
2988.0,,5361.8706,
2988.5,,5569.600498,
2989.0,,5007.820332,
2989.5,,5082.504296,
2990.0,,5222.691415,
2990.5,,6100.615696,
2991.0,,6082.577788,
2991.5,,5251.950277,
2992.0,,5298.049827,
2992.5,,4981.945653,
2993.0,,5167.005449,
2993.5,,5126.33867,
2994.0,,5413.575713,
2994.5,,5966.194915,
2995.0,,6130.556315,
2995.5,,5616.269973,
2996.0,,5599.390528,
2996.5,,5154.576083,
2997.0,,5420.422514,
2997.5,,5379.872032,
2998.0,,5136.300298,
2998.5,,5163.371846,
2999.0,,5522.546321,
2999.5,,4670.854202,
3000.0,,5373.832556,
3000.5,,4988.818692,
3001.0,,5205.487943,
3001.5,,5087.786298,
3002.0,,5337.677694,
3002.5,,5141.386461,
3003.0,,5238.356826,
3003.5,,5868.723509,
3004.0,,5161.216902,
3004.5,,5237.284559,
3005.0,,5100.297032,
3005.5,,4849.134884,
3006.0,,5121.917973,
3006.5,,5292.782524,
3007.0,,5272.441622,
3007.5,,5438.373033,
3008.0,,5504.166852,
3008.5,,5543.947197,
3009.0,,5438.063068,
3009.5,,5703.542556,
3010.0,,5049.001128,
3010.5,,5473.354409,
3011.0,,5592.82289,
3011.5,,5482.175517,
3012.0,,5267.275179,
3012.5,,5516.903935,
3013.0,,5341.966761,
3013.5,,5429.519915,
3014.0,,5205.706187,
3014.5,,4981.894396,
3015.0,,4965.285926,
3015.5,,5309.198075,
3016.0,,5004.033735,
3016.5,,4968.820147,
3017.0,,5599.664777,
3017.5,,5384.358346,
3018.0,,5528.658776,
3018.5,,5537.874955,
3019.0,,5573.552579,
3019.5,,5181.769555,
3020.0,,5204.274768,
3020.5,,5471.535361,
3021.0,,5421.41083,
3021.5,,5187.006698,
3022.0,,6057.10561,
3022.5,,5431.432885,
3023.0,,5622.760194,
3023.5,,5381.740283,
3024.0,,5544.012962,
3024.5,,5503.274742,
3025.0,,5423.614449,
3025.5,,5173.413559,
3026.0,,5592.69986,
3026.5,,5632.956184,
3027.0,,5658.218301,
3027.5,,5783.446839,
3028.0,,5933.648116,
3028.5,,5573.238611,
3029.0,,6149.831932,
3029.5,,5744.154378,
3030.0,,5684.27457,
3030.5,,5784.61551,
3031.0,,5598.382115,
3031.5,,5590.700015,
3032.0,,6285.914019,
3032.5,100.56465,5399.5667,
3033.0,99.717472,4834.548756,1966.879303
3033.5,99.652083,4739.362099,1923.724242
3034.5,,5612.96955,2064.347335
3035.0,,5089.047299,2077.532302
3035.5,,5718.385602,
3036.0,,5774.103271,
3036.5,,5828.504203,
3037.0,,5797.889033,
3037.5,,5628.851952,
3038.0,,5467.465277,
3038.5,,5601.667324,
3039.0,,5350.414492,
3039.5,,5679.974186,
3040.0,,5699.869417,
3040.5,,5521.784693,
3041.0,,5440.515444,
3041.5,,5459.42797,
3042.0,,5383.8742,
3042.5,,5559.007576,
3043.0,,5688.639572,
3043.5,,6042.536339,
3044.0,,5814.50235,
3044.5,,5543.895925,
3045.0,,5844.94875,
3045.5,,5809.525039,
3046.0,,5554.72568,
3046.5,,6096.077381,
3047.0,,6222.993155,
3047.5,,5433.078895,
3048.0,,5155.745717,
3048.5,,5293.971035,
3049.0,,5474.604787,
3049.5,,5759.883645,
3050.0,,5843.476625,
3050.5,,6084.50564,
3051.0,,5568.973227,
3051.5,,5316.524754,
3052.0,,6006.465852,
3052.5,,5578.008819,
3053.0,,5306.997322,
3053.5,,6111.089624,
3054.0,,6115.786834,
3054.5,,5934.234784,
3055.0,,5426.90646,
3055.5,,5706.847393,
3056.0,,5924.267649,
3056.5,,5755.765695,
3057.0,,5488.825664,
3057.5,,5444.249947,
3058.0,,5539.108435,
3058.5,,5499.344882,
3059.0,,5640.731298,
3059.5,,5613.105909,
3060.0,,5536.058297,
3060.5,,5533.862839,
3061.0,,5599.812956,
3061.5,,5339.680685,
3062.0,,5560.120565,
3062.5,,5438.024374,
3063.0,,5709.642819,
3063.5,,4943.590353,
3064.0,,5193.725018,2114.07411
3064.5,,5693.122509,
3065.0,,5570.061007,
3065.5,,5163.549136,
3066.0,,5428.400037,
3066.5,,5704.235811,
3067.0,,6064.137019,
3067.5,,5349.570713,
3068.0,,5276.929563,
3068.5,,5467.421557,
3069.0,,5767.093757,
3069.5,,5544.730633,
3070.0,,5842.2655,
3070.5,,5352.262811,
3071.0,,5644.114713,
3071.5,,5509.284348,
3072.0,,5564.290162,
3072.5,,5484.094347,
3073.0,,5318.04899,
3073.5,,5211.116194,
3074.0,,5517.757537,
3074.5,,5477.994211,
3075.0,,5531.743924,
3075.5,,5478.266299,
3076.0,,5656.06726,
3076.5,,5528.176357,
3077.0,,5563.449836,
3077.5,,6032.447377,
3078.0,,5949.914858,
3078.5,,5280.807472,
3079.0,,6078.703673,
3079.5,,5190.256527,
3080.0,,5251.501261,
3080.5,,5376.217846,
3081.0,,5331.834862,
3081.5,,5305.676792,
3082.0,,5091.032649,
3082.5,,4840.282032,
3083.0,,4967.607513,2127.188366
3083.5,,4777.693675,2123.333874
3084.0,,5208.806847,2135.421058
3084.5,,5444.574608,2136.23719
3085.0,,5382.998216,2118.900657
3085.5,,4987.068313,
3086.0,,5664.898379,2131.263392
3086.5,,4907.219819,2135.100371
3087.0,,5528.698894,2139.1311
3087.5,,5003.336295,
3088.0,,5728.061503,
3088.5,,5826.650542,
3089.0,,5459.693269,
3089.5,,5521.911852,2110.392295
3090.0,,5032.793379,2106.637529
3090.5,,5033.706774,2131.504897
3091.0,,5282.626292,2107.328152
3091.5,,5169.212636,2087.969048
3092.0,,5164.546092,2141.970474
3092.5,,5617.081932,
3093.0,,4907.435855,
3093.5,,5271.788274,2135.907887
3094.0,,5107.221368,2129.147498
3094.5,,5283.393417,2123.630927
3095.0,,5324.067239,2105.851644
3095.5,,5250.84949,2123.293538
3096.0,,5336.289623,2148.183055
3096.5,,5427.08124,
3097.0,,5370.198597,
3097.5,,5079.710774,
3098.0,,5317.522577,2129.156631
3098.5,,5603.002317,
3099.0,,5247.804047,
3099.5,,5173.490788,2142.220392
3100.0,,5217.404482,2142.312756
3100.5,,5234.148112,2145.349638
3101.0,,5493.983856,
3101.5,,5079.761719,
3102.0,,5789.58181,
3102.5,,5746.142177,
3103.0,,5659.606607,
3103.5,,5439.937195,
3104.0,,5795.099798,
3104.5,,5382.804637,
3105.0,,5748.940926,
3105.5,,6528.073196,
3106.0,,5762.406655,
3106.5,,5559.923677,
3107.0,,6045.981222,
3107.5,,5424.384694,
3108.0,,5520.628084,
3108.5,,5344.738176,
3109.0,,5812.544835,
3109.5,,5805.822411,
3110.0,,5676.630948,2150.189414
