MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi),Torque(klb-ft)
3146.5,,3686.373398,1254.497503,
3147,,3866.396627,1247.523293,
3147.5,,3293.842314,1228.472011,
3148,,3907.758806,1223.798492,
3148.5,,3769.797023,1247.687492,
3149,,4248.719964,1249.150394,
3149.5,,3841.915498,1260.953784,
3150,,3266.404734,1209.739556,
3150.5,,2910.340187,1163.382611,
3151,,2679.621281,1143.651812,
3151.5,,3189.834049,1163.159854,
3152,,3876.127778,1236.494083,
3152.5,,4280.104231,1268.826042,
3153,,4221.014751,1273.896059,
3153.5,,4852.820370,1331.384919,
3154,,4495.233659,1351.002270,
3154.5,,4545.224862,1353.985217,
3155,,3982.375602,1321.484844,
3155.5,,3784.306261,1310.758212,
3156,,4154.731644,1292.132942,
3156.5,,4567.379389,1347.370683,
3157,,4368.470059,1340.300264,
3157.5,,4409.284778,1357.686182,
3158,,4317.025103,1344.633862,
3158.5,,3530.860554,1292.044747,
3159,,4615.304544,1288.444152,
3159.5,,4660.127794,1345.448554,
3160,,4253.023558,1351.733587,
3160.5,,4350.375368,1315.310289,
3161,,4347.968357,1329.790584,
3161.5,,4179.351452,1334.721064,
3162,,3754.769868,1310.818875,
3162.5,,3837.206521,1278.491955,
3163,,4255.514642,1303.307550,
3163.5,,3613.200211,1300.721659,
3164,,3440.306780,1230.816186,
3164.5,,3827.990917,1276.769591,
3165,,3804.639819,1287.827817,
3165.5,,3396.977895,1246.580240,
3166,,3131.818995,1236.514378,
3166.5,,3204.440011,1189.640273,
3167,,4185.777276,1274.400811,
3167.5,,4440.471980,1320.721427,
3168,,4257.268948,1342.720328,
3168.5,,4134.668692,1324.643066,
3169,,3081.369808,1251.421226,
3169.5,,3964.454969,1267.484043,
3170,,4141.678631,1299.872252,
3170.5,,3901.920164,1295.113859,
3171,,4311.183294,1293.896161,
3171.5,,4650.490492,1348.027017,
3172,,5047.843532,1375.695870,
3172.5,,5109.318458,1396.553696,
3173,,3914.857151,1331.832441,
3173.5,,3125.667802,1255.814372,
3174,,3853.607465,1305.455465,
3174.5,,3718.205334,1291.540438,
3175,,4430.234406,1305.797257,
3175.5,,4556.875304,1360.287549,
3176,,3433.353428,1281.969310,
3176.5,,2791.580572,1209.342361,
3177,,4029.512981,1225.124495,
